-170.9	510.14	7224.9	-298.52	-397.67	-392.4	256.92	320.44	637.18
2953.9	-1400.6	-9462.1	-307.42	-359.12	-375.96	274.58	266.01	740.68
1114.8	353.1	-10227	-255.02	-334.19	-378.57	223.77	237.06	631.4
1503.4	-967.12	8468	-264.35	-235.98	-373.4	193.16	303.18	628.21
-554.9	234.62	7275.3	-251.04	-340.21	-332.26	271.75	263.99	642.43
-181	527.47	-9929.8	-365.02	-572.95	-296.28	415.85	498.5	702
2970.2	-1468.7	7513.8	-351.27	-417.5	-388.75	323.66	527.71	701.11
1132.4	352.03	8333.6	-380.54	-440.34	-303.1	267.03	427.58	654.61
1527.8	-947.9	-10206	-342.48	-422.21	-252.09	224.96	398.07	690.8
-550.27	199.86	-9371.7	-348.81	-440.88	-300.55	316.56	475.24	656.41
1551.4	-718.82	6621	-335.13	-287.02	-356.26	331.52	264.75	761.51
2018.5	-680.87	-10019	-305.95	-233.36	-368.15	323.77	254.86	618.2
1766.9	1999.8	8162.8	-274.18	-186.48	-360.01	220.29	238.15	563.94
3319.3	292.26	-7566.2	-316.68	-255.11	-311.71	258.59	262.24	658.98
1568.5	-745.54	-8183.4	-374.54	-379.99	-295.61	282.89	411.11	714.89
2016.5	-713.31	8039.8	-408.24	-356.77	-304.27	339.36	485.1	641.13
1781.4	2028.3	-9314.1	-319.36	-345.6	-282.84	258.74	329.3	565.13
3336.7	330.67	6523.6	-383.62	-357.72	-269.94	241.17	328.08	698.8
-1143.1	603.75	-8177.2	-113.49	-209.53	-395.28	123.09	164.73	667.66
-398.93	-3785.2	-7185.2	-125.75	-206.59	-369.52	140.9	166.5	722.91
2280.7	236.98	-7610.5	-121.29	-189.39	-451.59	114.78	165.29	632.51
